"gewinn","branche","groesse"
"1",1.6,1,1
"2",7.5,1,1
"3",-0.1,1,1
"4",4.2,1,1
"5",6,1,1
"6",-0.4,NA,1
"7",6.9,1,1
"8",3.5,1,1
"9",1.9,1,2
"10",-0.6,1,2
"11",6.9,1,NA
"12",7.2,1,2
"13",5.9,1,2
"14",5,1,NA
"15",13.5,1,2
"16",6.7,1,2
"17",11,2,1
"18",11.5,2,1
"19",12,2,1
"20",4.5,2,1
"21",7.2,2,1
"22",8.4,2,1
"23",10.9,2,1
"24",14.1,2,NA
"25",0,2,2
"26",-3.8,2,2
"27",-6.1,2,2
"28",1.5,2,2
"29",-0.6,2,NA
"30",1.1,2,2
"31",-2.4,2,2
"32",3.5,2,2
"33",5.7,3,1
"34",0.3,3,1
"35",9.1,3,1
"36",4.9,3,1
"37",-0.4,3,1
"38",6.7,3,1
"39",-1,3,1
"40",3.6,3,1
"41",16.8,3,2
"42",4.2,3,2
"43",11.6,3,2
"44",5.8,3,2
"45",14.5,3,2
"46",17,3,2
"47",12.5,NA,2
"48",6.8,3,2
