"gewinn","branche","groesse"
3.9,1,1
-1.6,1,1
3.3,1,NA
5.2,1,1
5.5,1,1
-1,1,1
3.1,1,1
NA,1,1
7.9,1,1
4.3,1,1
8.9,1,1
4.1,1,2
3.9,1,2
10.9,NA,2
1.6,1,2
5.5,1,2
5.8,1,2
6.9,1,NA
6.1,NA,2
3.8,1,2
8.1,1,2
7.8,1,2
15.1,2,1
5.5,2,1
11.3,2,1
6.4,2,1
10.7,2,1
6.3,2,1
9.8,2,1
8.5,2,1
4.6,2,1
NA,2,1
6.6,2,1
NA,NA,2
NA,2,2
6,2,2
0.8,2,2
-1.9,2,2
1.4,2,2
-4.6,2,2
1.5,2,2
0.1,2,2
NA,2,2
1.6,2,2
6.3,3,1
4.1,3,1
-2.6,3,1
7.3,3,1
3.6,3,1
3.4,3,1
1.6,NA,1
3.3,3,1
0.9,3,1
0.6,3,1
2.4,NA,1
10.1,3,2
7.2,3,2
15.8,3,2
11.5,3,2
5.5,3,2
8.9,3,2
10.3,3,2
NA,3,2
11.2,3,2
17.1,NA,2
4.4,3,2
